מילה,שורש,חלק הדיבור,בניין או משקל,תרגום,מקור
לַחְשׁוֹב,ח - שׁ - ב,פועל,paal,думать,pealim.com
חֲשִׁיבָה,ח - שׁ - ב,שם פעולה,ktila,мышление,pealim.com
חָשׁוּב,ח - שׁ - ב,שם תואר,katul,важный,pealim.com
חֲשִׁיבוּת,ח - שׁ - ב,שם עצם,—,важность,pealim.com
מַחְשָׁבָה,ח - שׁ - ב,שם עצם,—,мысль,pealim.com
לְחַשֵּׁב,ח - שׁ - ב,פועל,piel,"считать, рассчитывать",pealim.com
חִישּׁוּב,ח - שׁ - ב,שם פעולה,kitul,вычисление,pealim.com
חוּשב,ח - שׁ - ב,פועל,pual,вычислен,Baruch Podolski
מְחוּשָב,ח - שׁ - ב,שם תואר,mekutal,обдуманный; вычисленный,Baruch Podolski
תַחשִב,ח - שׁ - ב,שם עצם,—,калькуляция,Baruch Podolski
תִחשוּב,ח - שׁ - ב,שם עצם,—,"калькулирование, подсчёт",Baruch Podolski
לְהַחְשִׁיב,ח - שׁ - ב,פועל,hiphil,"ценить, учитывать",pealim.com
הַחשָבָה,ח - שׁ - ב,שם פעולה,haktala,оценка важности,Baruch Podolski
חֶשְׁבּוֹנִייָּה,ח - שׁ - ב,שם עצם,—,счёты,pealim.com
לְהִתְחַשֵּׁב,ח - שׁ - ב,פועל,hitpael,считаться (с),pealim.com
הִתְחַשְּׁבוּת,ח - שׁ - ב,שם עצם,hitkatlut,способность считаться (с),pealim.com
מַחְשֵׁב,ח - שׁ - ב,שם עצם,—,компьютер,pealim.com
מְחַשֵב,ח - שׁ - ב,שם עצם,—,вычислитель (человек),Baruch Podolski
חַשָּׁב,ח - שׁ - ב,שם עצם,—,"бухгалтер, экономист",pealim.com
חֶשְׁבּוֹן,ח - שׁ - ב,שם עצם,—,счёт,pealim.com
חֶשְׁבּוֹנִית,ח - שׁ - ב,שם עצם,—,счёт-фактура,pealim.com
חֶשְׁבּוֹנַאי,ח - שׁ - ב,שם עצם,—,"бухгалтер, счетовод",pealim.com
חֶשְׁבּוֹנָאִי,ח - שׁ - ב,שם תואר,—,бухгалтерский,pealim.com
חשבונאות,ח - שׁ - ב,שם עצם,—,бухгалтерия,Семитский корневой словарь
מַחְשְׁבוֹן,ח - שׁ - ב,שם עצם,—,калькулятор,pealim.com
לְהֵיחָשֵׁב,ח - שׁ - ב,פועל,niphal,считаться чем-то,pealim.com
חשבון,ח - שׁ - ב,שם עצם,—,"счёт, чек, аккаунт; арифметика",Семитский корневой словарь
חשבונית,ח - שׁ - ב,שם עצם,—,квитанция,Семитский корневой словарь
חירות המחשבה,ח - שׁ - ב,ביטוי,—,свобода совести,Семитский корневой словарь
מיחשוב,ח - שׁ - ב,שם פעולה,—,компьютеризация,Семитский корневой словарь
לִסְפּוֹר,ס - פ - ר 1,פועל,paal,считать,pealim.com
סִפְרָה,ס - פ - ר 1,שם עצם,—,цифра,pealim.com
מִסְפָּר,ס - פ - ר 1,שם עצם,—,"число, номер",pealim.com
לְהִיסָּפֵר,ס - פ - ר 1,פועל,niphal,учитываться,pealim.com
סְפִירָה,ס - פ - ר 1,שם פעולה,ktila,"счёт, исчисление",pealim.com
סָפוּר,ס - פ - ר 1,שם תואר,—,подсчитанный,pealim.com
מספרי,ס - פ - ר 1,שם תואר,—,численный,Baruch Podolski
ספיר,ס - פ - ר 1,שם תואר,—,поддающийся счету,
סִפְרִייָּה,ס - פ - ר 2,שם עצם,—,библиотека,pealim.com
סוֹפֵר,ס - פ - ר 2,שם עצם,—,"писатель, автор",pealim.com
סִיפּוּר,ס - פ - ר 2,שם פעולה,kitul,рассказ,pealim.com
סֵפֶר,ס - פ - ר 2,שם עצם,—,книга,pealim.com
סִפְרוּת,ס - פ - ר 2,שם עצם,—,литература,pealim.com
סִפְרוּתִי,ס - פ - ר 2,שם תואר,—,литературный,pealim.com
סַפְרָן,ס - פ - ר 2,שם עצם,—,библиотекарь,pealim.com
לְסַפֵּר,ס - פ - ר 2,פועל,piel,рассказывать,pealim.com
מִסְפָּרַייִם,ס - פ - ר 3,שם עצם,—,ножницы,pealim.com
לְהִסְתַּפֵּר,ס - פ - ר 3,פועל,hitpael,стричься,pealim.com
תִּסְפּוֹרֶת,ס - פ - ר 3,שם עצם,—,стрижка,pealim.com
סַפָּר,ס - פ - ר 3,שם עצם,—,парикмахер,pealim.com
מִסְפָּרָה,ס - פ - ר 3,שם עצם,—,парикмахерская,pealim.com
לְסַפֵּר,ס - פ - ר 3,פועל,piel,стричь (волосы),pealim.com